scene,canonical_vehicle_id,optical_frame_start,optical_frame_end,support_frame_count,candidate_complete_frame_count,max_contiguous_complete_frames,identity_status,visibility_status,boundary_contact_status,occlusion_status,selection_basis,human_review_status,candidate_status,notes
GM_RM011,GM_RM011:PV001,0,35,36,0,0,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,NO_FULL_VISIBLE_FRAME,BOUNDARY_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,DEFERRED_COMPLEXITY,registry_confidence=confirmed_with_partial_visibility; color=white; shape=compact crossover/SUV; nearest_boundary_margin_px=4.576999999999998
GM_RM011,GM_RM011:PV012,262,292,31,1,1,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,FULL_VISIBLE_FRAMES_PRESENT,INTERIOR_BBOX_FRAMES_PRESENT,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,DEFERRED_COMPLEXITY,registry_confidence=confirmed_with_partial_visibility; color=white; shape=sedan; nearest_boundary_margin_px=4.17999999999995
GM_RM011,GM_RM011:PV013,284,315,32,7,3,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,FULL_VISIBLE_FRAMES_PRESENT,INTERIOR_BBOX_FRAMES_PRESENT,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,AUTO_CANDIDATE,registry_confidence=confirmed_with_partial_visibility; color=white; shape=SUV/crossover; nearest_boundary_margin_px=4.219000000000051
GM_RM011,GM_RM011:PV014,307,336,30,0,0,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,NO_FULL_VISIBLE_FRAME,BOUNDARY_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,DEFERRED_COMPLEXITY,registry_confidence=confirmed_with_partial_visibility; color=silver cover; shape=fully covered passenger vehicle; nearest_boundary_margin_px=None
GM_RM017,GM_RM017:PV001,118,164,47,31,31,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,FULL_VISIBLE_FRAMES_PRESENT,INTERIOR_BBOX_FRAMES_PRESENT,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,AUTO_CANDIDATE,registry_confidence=confirmed_with_partial_visibility; color=white; shape=box truck; nearest_boundary_margin_px=5.927999999999997
GM_RM017,GM_RM017:PV002,145,185,41,20,20,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,FULL_VISIBLE_FRAMES_PRESENT,INTERIOR_BBOX_FRAMES_PRESENT,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,AUTO_CANDIDATE,registry_confidence=confirmed_with_partial_visibility; color=dark gray; shape=leading sedan; nearest_boundary_margin_px=22.163999999999987
GM_RM017,GM_RM017:PV003,151,200,50,27,27,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,FULL_VISIBLE_FRAMES_PRESENT,INTERIOR_BBOX_FRAMES_PRESENT,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,AUTO_CANDIDATE,registry_confidence=confirmed_with_partial_visibility; color=white; shape=SUV; nearest_boundary_margin_px=14.63900000000001
GM_RM017,GM_RM017:PV004,162,214,53,33,33,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,FULL_VISIBLE_FRAMES_PRESENT,INTERIOR_BBOX_FRAMES_PRESENT,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,AUTO_CANDIDATE,registry_confidence=confirmed_with_partial_visibility; color=dark gray; shape=trailing sedan; nearest_boundary_margin_px=11.878
GM_RM019,GM_RM019:PV001,0,14,15,0,0,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,NO_FULL_VISIBLE_FRAME,BOUNDARY_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,DEFERRED_COMPLEXITY,registry_confidence=confirmed_with_partial_visibility; color=black; shape=sedan; nearest_boundary_margin_px=4.260999999999967
GM_RM019,GM_RM019:PV002,5,43,39,3,1,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,FULL_VISIBLE_FRAMES_PRESENT,INTERIOR_BBOX_FRAMES_PRESENT,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,DEFERRED_COMPLEXITY,registry_confidence=confirmed_with_partial_visibility; color=white; shape=MPV; nearest_boundary_margin_px=4.904999999999973
GM_RM019,GM_RM019:PV003,98,143,46,4,3,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,FULL_VISIBLE_FRAMES_PRESENT,INTERIOR_BBOX_FRAMES_PRESENT,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,AUTO_CANDIDATE,registry_confidence=confirmed_with_partial_visibility; color=silver; shape=MPV; nearest_boundary_margin_px=4.115000000000009
GM_RM019,GM_RM019:PV004,149,183,35,1,1,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,FULL_VISIBLE_FRAMES_PRESENT,INTERIOR_BBOX_FRAMES_PRESENT,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,DEFERRED_COMPLEXITY,registry_confidence=confirmed_with_partial_visibility; color=gray; shape=SUV; nearest_boundary_margin_px=71.581
