optical_event_id,segment_id,run_id,event_type,involved_track_ids,support_start_sar_frame,support_end_sar_frame,event_uncertainty_state,competing_interpretations_json,observable_evidence,event_is_hard_label,manual_reference_used
TERGOE_E96FF862B7F7986895EB,TERGS_333C24F63385DAFD9021,R01ZF,OBSERVATION_DEATH_HYPOTHESIS,R01ZF_REUSED_R01ZF_PERSON003,121,122,SET_VALUED,"[""scene exit"", ""detector loss"", ""fragment end""]",last runtime-visible observation of fragment,False,False
TERGOE_352FA0AB45D450795EE7,TERGS_447E05427C2D6C44CC40,R01ZF,OBSERVATION_BIRTH_HYPOTHESIS,R01ZF_REUSED_R01ZF_PERSON003,16,17,SET_VALUED,"[""scene entry"", ""detector birth"", ""fragment start""]",first runtime-visible observation of fragment,False,False
TERGOE_A96B674EDFEFBD097108,TERGS_447E05427C2D6C44CC40,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON001,16,94,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 79 SAR frames,False,False
TERGOE_F786B02B42AEDE0BFD4B,TERGS_447E05427C2D6C44CC40,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON003,16,94,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 79 SAR frames,False,False
TERGOE_1624D8D3F18DA4E22BE9,TERGS_447E05427C2D6C44CC40,R01ZF,PAIR_GAP_APPROACH_TENDENCY_DESCRIPTOR,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON003,16,94,CONTINUOUS_SIGN_DESCRIPTOR_NO_FITTED_THRESHOLD,"[""angular support gap trend"", ""camera projection trend"", ""bbox deformation""]",endpoint interval gap changes from 21.1370 to 18.5571 deg,False,False
TERGOE_C28E2D12A0450530233F,TERGS_447E05427C2D6C44CC40,R01ZF,RELATIVE_ORDER_STABLE,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON003,16,94,DEFINITE_INTERVAL_ORDER,"[""A_RIGHT_OF_B""]",raw optical angular intervals remain disjoint with stable order,False,False
TERGOE_E06A035E1EE18D24231C,TERGS_447E05427C2D6C44CC40,R01ZF,OPTICAL_BOUNDARY_OR_TRUNCATION_STATE,R01ZF_REUSED_R01ZF_PERSON001,85,94,UNCERTAINTY_STATE,"[""partial visibility"", ""fan/common-FoV clipping"", ""bbox truncation""]",runtime-visible shell interval touches an observable boundary,False,False
TERGOE_9052341A06D3A076B2DE,TERGS_447E05427C2D6C44CC40,R01ZF,OBSERVATION_DEATH_HYPOTHESIS,R01ZF_REUSED_R01ZF_PERSON001,93,94,SET_VALUED,"[""scene exit"", ""detector loss"", ""fragment end""]",last runtime-visible observation of fragment,False,False
TERGOE_695D8312D04BF45CFD4A,TERGS_4DCF92A4ED1645C80C30,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON001,18,25,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 8 SAR frames,False,False
TERGOE_BCBEE7B36119DD20D410,TERGS_4DCF92A4ED1645C80C30,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON002,18,25,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 8 SAR frames,False,False
TERGOE_2926E7F9EEECD489868C,TERGS_4DCF92A4ED1645C80C30,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON003,18,25,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 8 SAR frames,False,False
TERGOE_46B360D8EF7E7229F8D0,TERGS_4DCF92A4ED1645C80C30,R01ZF,PAIR_GAP_APPROACH_TENDENCY_DESCRIPTOR,R01ZF_REUSED_R01ZF_PERSON002;R01ZF_REUSED_R01ZF_PERSON003,18,25,CONTINUOUS_SIGN_DESCRIPTOR_NO_FITTED_THRESHOLD,"[""angular support gap trend"", ""camera projection trend"", ""bbox deformation""]",endpoint interval gap changes from 27.0310 to 26.8973 deg,False,False
TERGOE_9E81D171EEF288B4D8C9,TERGS_4DCF92A4ED1645C80C30,R01ZF,PAIR_GAP_SEPARATION_TENDENCY_DESCRIPTOR,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON003,18,25,CONTINUOUS_SIGN_DESCRIPTOR_NO_FITTED_THRESHOLD,"[""angular support gap trend"", ""camera projection trend"", ""bbox deformation""]",endpoint interval gap changes from 21.5416 to 21.7718 deg,False,False
TERGOE_B768494119D3C105510E,TERGS_4DCF92A4ED1645C80C30,R01ZF,PAIR_GAP_STABLE_DESCRIPTOR,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON002,18,25,CONTINUOUS_SIGN_DESCRIPTOR_NO_FITTED_THRESHOLD,"[""angular support gap trend"", ""camera projection trend"", ""bbox deformation""]",endpoint interval gap changes from 0.0000 to 0.0000 deg,False,False
TERGOE_C322073591370B648AF9,TERGS_4DCF92A4ED1645C80C30,R01ZF,RELATIVE_ORDER_OVERLAP_UNCERTAINTY,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON002,18,25,UNCERTAINTY_STATE,"[""angular overlap"", ""possible occlusion"", ""projection ambiguity"", ""grouping ambiguity""]",raw angular support intervals overlap,False,False
TERGOE_DC42D461AC1212490B72,TERGS_4DCF92A4ED1645C80C30,R01ZF,RELATIVE_ORDER_STABLE,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON003,18,25,DEFINITE_INTERVAL_ORDER,"[""A_RIGHT_OF_B""]",raw optical angular intervals remain disjoint with stable order,False,False
TERGOE_2AA1AB3BD47C4F773BBE,TERGS_4DCF92A4ED1645C80C30,R01ZF,RELATIVE_ORDER_STABLE,R01ZF_REUSED_R01ZF_PERSON002;R01ZF_REUSED_R01ZF_PERSON003,18,25,DEFINITE_INTERVAL_ORDER,"[""A_RIGHT_OF_B""]",raw optical angular intervals remain disjoint with stable order,False,False
TERGOE_C0AEAABAB115E02605D0,TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON001,23,30,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 8 SAR frames,False,False
TERGOE_D30929428832F5AAA3EA,TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON002,23,30,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 8 SAR frames,False,False
TERGOE_E31C99DE451897BEA67D,TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON003,23,30,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 8 SAR frames,False,False
TERGOE_19D33419EF2BEC492DFB,TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,PAIR_GAP_APPROACH_TENDENCY_DESCRIPTOR,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON003,23,30,CONTINUOUS_SIGN_DESCRIPTOR_NO_FITTED_THRESHOLD,"[""angular support gap trend"", ""camera projection trend"", ""bbox deformation""]",endpoint interval gap changes from 21.7325 to 21.6257 deg,False,False
TERGOE_57C1B4A7D3D71849FE0B,TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,PAIR_GAP_APPROACH_TENDENCY_DESCRIPTOR,R01ZF_REUSED_R01ZF_PERSON002;R01ZF_REUSED_R01ZF_PERSON003,23,30,CONTINUOUS_SIGN_DESCRIPTOR_NO_FITTED_THRESHOLD,"[""angular support gap trend"", ""camera projection trend"", ""bbox deformation""]",endpoint interval gap changes from 26.9139 to 26.4074 deg,False,False
TERGOE_30A11DCF699D0A4476CA,TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,PAIR_GAP_STABLE_DESCRIPTOR,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON002,23,30,CONTINUOUS_SIGN_DESCRIPTOR_NO_FITTED_THRESHOLD,"[""angular support gap trend"", ""camera projection trend"", ""bbox deformation""]",endpoint interval gap changes from 0.0000 to 0.0000 deg,False,False
TERGOE_372E9E54C47C6C36A9E9,TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,RELATIVE_ORDER_OVERLAP_UNCERTAINTY,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON002,23,30,UNCERTAINTY_STATE,"[""angular overlap"", ""possible occlusion"", ""projection ambiguity"", ""grouping ambiguity""]",raw angular support intervals overlap,False,False
TERGOE_D828072F6A1451750859,TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,RELATIVE_ORDER_STABLE,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON003,23,30,DEFINITE_INTERVAL_ORDER,"[""A_RIGHT_OF_B""]",raw optical angular intervals remain disjoint with stable order,False,False
TERGOE_569EFAF78F8F83F15D9B,TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,RELATIVE_ORDER_STABLE,R01ZF_REUSED_R01ZF_PERSON002;R01ZF_REUSED_R01ZF_PERSON003,23,30,DEFINITE_INTERVAL_ORDER,"[""A_RIGHT_OF_B""]",raw optical angular intervals remain disjoint with stable order,False,False
TERGOE_8B0ED1A90BF3E958BAFE,TERGS_78A1EE0BE1319B401D51,R01ZF,OBSERVATION_BIRTH_HYPOTHESIS,R01ZF_REUSED_R01ZF_PERSON002,0,1,SET_VALUED,"[""scene entry"", ""detector birth"", ""fragment start""]",first runtime-visible observation of fragment,False,False
TERGOE_E835BB0E8DF94BD4B560,TERGS_78A1EE0BE1319B401D51,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON002,0,90,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 91 SAR frames,False,False
TERGOE_FBD9DB5025E356932CF6,TERGS_78A1EE0BE1319B401D51,R01ZF,OPTICAL_BOUNDARY_OR_TRUNCATION_STATE,R01ZF_REUSED_R01ZF_PERSON002,81,90,UNCERTAINTY_STATE,"[""partial visibility"", ""fan/common-FoV clipping"", ""bbox truncation""]",runtime-visible shell interval touches an observable boundary,False,False
TERGOE_4344457A089E1E29E42A,TERGS_78A1EE0BE1319B401D51,R01ZF,OBSERVATION_DEATH_HYPOTHESIS,R01ZF_REUSED_R01ZF_PERSON002,89,90,SET_VALUED,"[""scene exit"", ""detector loss"", ""fragment end""]",last runtime-visible observation of fragment,False,False
TERGOE_7E3EF1F1F092468B5C70,TERGS_8BEED5994DAAC1AE86CF,R01ZF,OBSERVATION_BIRTH_HYPOTHESIS,R01ZF_REUSED_R01ZF_PERSON001,0,1,SET_VALUED,"[""scene entry"", ""detector birth"", ""fragment start""]",first runtime-visible observation of fragment,False,False
TERGOE_D7FE04AD74B69EB7198F,TERGS_8BEED5994DAAC1AE86CF,R01ZF,OBSERVATION_BIRTH_HYPOTHESIS,R01ZF_REUSED_R01ZF_PERSON002,0,1,SET_VALUED,"[""scene entry"", ""detector birth"", ""fragment start""]",first runtime-visible observation of fragment,False,False
TERGOE_BF79B1D8E56551D16C7C,TERGS_8BEED5994DAAC1AE86CF,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON001,0,90,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 91 SAR frames,False,False
TERGOE_801649548766F986C851,TERGS_8BEED5994DAAC1AE86CF,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON002,0,90,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 91 SAR frames,False,False
TERGOE_F95C1E1CE5CB480C9FA3,TERGS_8BEED5994DAAC1AE86CF,R01ZF,PAIR_GAP_STABLE_DESCRIPTOR,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON002,0,90,CONTINUOUS_SIGN_DESCRIPTOR_NO_FITTED_THRESHOLD,"[""angular support gap trend"", ""camera projection trend"", ""bbox deformation""]",endpoint interval gap changes from 0.0000 to 0.0000 deg,False,False
TERGOE_9377EA86ADF077BDFA5A,TERGS_8BEED5994DAAC1AE86CF,R01ZF,RELATIVE_ORDER_OVERLAP_UNCERTAINTY,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON002,0,90,UNCERTAINTY_STATE,"[""angular overlap"", ""possible occlusion"", ""projection ambiguity"", ""grouping ambiguity""]",raw angular support intervals overlap,False,False
TERGOE_18C396A364148E3373CD,TERGS_8BEED5994DAAC1AE86CF,R01ZF,OPTICAL_BOUNDARY_OR_TRUNCATION_STATE,R01ZF_REUSED_R01ZF_PERSON002,81,90,UNCERTAINTY_STATE,"[""partial visibility"", ""fan/common-FoV clipping"", ""bbox truncation""]",runtime-visible shell interval touches an observable boundary,False,False
TERGOE_F60090CE6E740ACEEC01,TERGS_8BEED5994DAAC1AE86CF,R01ZF,OPTICAL_BOUNDARY_OR_TRUNCATION_STATE,R01ZF_REUSED_R01ZF_PERSON001,85,90,UNCERTAINTY_STATE,"[""partial visibility"", ""fan/common-FoV clipping"", ""bbox truncation""]",runtime-visible shell interval touches an observable boundary,False,False
TERGOE_3FD2AC1A005CD2DE762C,TERGS_8BEED5994DAAC1AE86CF,R01ZF,OBSERVATION_DEATH_HYPOTHESIS,R01ZF_REUSED_R01ZF_PERSON002,89,90,SET_VALUED,"[""scene exit"", ""detector loss"", ""fragment end""]",last runtime-visible observation of fragment,False,False
TERGOE_C82A288549A667DE4487,TERGS_90732AAA7ED6876C7E68,R01ZF,OBSERVATION_BIRTH_HYPOTHESIS,R01ZF_REUSED_R01ZF_PERSON003,16,17,SET_VALUED,"[""scene entry"", ""detector birth"", ""fragment start""]",first runtime-visible observation of fragment,False,False
TERGOE_D7940B0F67991C786E9A,TERGS_90732AAA7ED6876C7E68,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON003,16,122,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 107 SAR frames,False,False
TERGOE_C655B2805B06D5667134,TERGS_90732AAA7ED6876C7E68,R01ZF,OPTICAL_BOUNDARY_OR_TRUNCATION_STATE,R01ZF_REUSED_R01ZF_PERSON003,113,122,UNCERTAINTY_STATE,"[""partial visibility"", ""fan/common-FoV clipping"", ""bbox truncation""]",runtime-visible shell interval touches an observable boundary,False,False
TERGOE_808284FF6771E5BDD3C8,TERGS_90732AAA7ED6876C7E68,R01ZF,OBSERVATION_DEATH_HYPOTHESIS,R01ZF_REUSED_R01ZF_PERSON003,121,122,SET_VALUED,"[""scene exit"", ""detector loss"", ""fragment end""]",last runtime-visible observation of fragment,False,False
TERGOE_EB3F257B4FE7388AE1F5,TERGS_BC5EA4947C3E28B93EB6,R01ZF,OBSERVATION_BIRTH_HYPOTHESIS,R01ZF_REUSED_R01ZF_PERSON003,16,17,SET_VALUED,"[""scene entry"", ""detector birth"", ""fragment start""]",first runtime-visible observation of fragment,False,False
TERGOE_A8800399B83F6E58D881,TERGS_BC5EA4947C3E28B93EB6,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON001,16,90,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 75 SAR frames,False,False
TERGOE_CC9ECC8409995B399949,TERGS_BC5EA4947C3E28B93EB6,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON002,16,90,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 75 SAR frames,False,False
TERGOE_64F71490606C03808FD2,TERGS_BC5EA4947C3E28B93EB6,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON003,16,90,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 75 SAR frames,False,False
TERGOE_66565B9D91E2992A3444,TERGS_BC5EA4947C3E28B93EB6,R01ZF,PAIR_GAP_APPROACH_TENDENCY_DESCRIPTOR,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON003,16,90,CONTINUOUS_SIGN_DESCRIPTOR_NO_FITTED_THRESHOLD,"[""angular support gap trend"", ""camera projection trend"", ""bbox deformation""]",endpoint interval gap changes from 21.1370 to 18.9295 deg,False,False
TERGOE_1629FF5ED196828E0622,TERGS_BC5EA4947C3E28B93EB6,R01ZF,PAIR_GAP_APPROACH_TENDENCY_DESCRIPTOR,R01ZF_REUSED_R01ZF_PERSON002;R01ZF_REUSED_R01ZF_PERSON003,16,90,CONTINUOUS_SIGN_DESCRIPTOR_NO_FITTED_THRESHOLD,"[""angular support gap trend"", ""camera projection trend"", ""bbox deformation""]",endpoint interval gap changes from 26.6563 to 22.3057 deg,False,False
TERGOE_450F3CC47DEA8C7999B2,TERGS_BC5EA4947C3E28B93EB6,R01ZF,PAIR_GAP_STABLE_DESCRIPTOR,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON002,16,90,CONTINUOUS_SIGN_DESCRIPTOR_NO_FITTED_THRESHOLD,"[""angular support gap trend"", ""camera projection trend"", ""bbox deformation""]",endpoint interval gap changes from 0.0000 to 0.0000 deg,False,False
