segment_id,run_id,track_count,direct_definite_edge_count,partial_order_closure_edge_count,transitive_edge_added_count,redundant_direct_edge_count,irreducible_edge_count,cycle_count,direct_edge_set,redundant_edge_set,global_partial_order_new_discrimination,interpretation
TERGS_D939CE55686A60BC97A8,R01ZF,3,2,2,0,0,2,0,R01ZF_REUSED_R01ZF_PERSON003<R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON003<R01ZF_REUSED_R01ZF_PERSON002,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,3,2,2,0,0,2,0,R01ZF_REUSED_R01ZF_PERSON003<R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON003<R01ZF_REUSED_R01ZF_PERSON002,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_F01D7DE8D068D8533122,R01ZF,3,2,2,0,0,2,0,R01ZF_REUSED_R01ZF_PERSON003<R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON003<R01ZF_REUSED_R01ZF_PERSON002,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_2329DA3AFF8E7609BCB2,R01ZF,3,2,2,0,0,2,0,R01ZF_REUSED_R01ZF_PERSON003<R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON003<R01ZF_REUSED_R01ZF_PERSON002,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_333C24F63385DAFD9021,R01ZF,1,0,0,0,0,0,0,,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_2A1E38ABAA50E3792676,R01ZF,1,0,0,0,0,0,0,,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_5CE262A17741C5FC8BFB,R02ZF,2,1,1,0,0,1,0,R02ZF_REUSED_R02ZF_PERSON017<R02ZF_REUSED_R02ZF_PERSON018,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_DA539F692DB3CF52F38F,R02ZF,2,1,1,0,0,1,0,R02ZF_REUSED_R02ZF_PERSON017<R02ZF_REUSED_R02ZF_PERSON018,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_A6E046163A60B75E621B,R02ZF,2,1,1,0,0,1,0,R02ZF_REUSED_R02ZF_PERSON017<R02ZF_REUSED_R02ZF_PERSON018,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_D9A02C06CA67BAF86AAE,R02ZF,1,0,0,0,0,0,0,,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_190792243168018C6692,R02ZF,1,0,0,0,0,0,0,,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_6436F78EE3B62E359C28,R02ZF,2,1,1,0,0,1,0,R02ZF_REUSED_R02ZF_PERSON017<R02ZF_REUSED_R02ZF_PERSON018,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_D848C6E5AC73E1AEEFDA,R02ZF,4,5,5,0,2,3,0,R02ZF_REUSED_R02ZF_PERSON017<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON023<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON023<R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON023<R02ZF_REUSED_R02ZF_PERSON018,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_E7F91D8684FAAF6A9219,R02ZF,3,3,3,0,1,2,0,R02ZF_REUSED_R02ZF_PERSON017<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON018,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_60EB5053F2693E18D58B,R02ZF,5,8,8,0,4,4,0,R02ZF_REUSED_R02ZF_PERSON017<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON023<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON023<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON023<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON018,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_409886F81D9E45334F4F,R02ZF,1,0,0,0,0,0,0,,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_6C426359C612628C7A31,R02ZF,2,1,1,0,0,1,0,R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON017,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_38238A43231066968F66,R02ZF,2,1,1,0,0,1,0,R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON018,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_406E06BEE8B19831E091,R02ZF,5,8,8,0,4,4,0,R02ZF_REUSED_R02ZF_PERSON017<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON023<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON023<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON023<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON018,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_4B565EEA0C6931299151,R02ZF,1,0,0,0,0,0,0,,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_8D6DB9A2F108568B32AA,R02ZF,2,1,1,0,0,1,0,R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON017,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_A923293CFBC550AE18D7,R02ZF,2,1,1,0,0,1,0,R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON018,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_F66D1A1E88076E254C22,R02ZF,2,1,1,0,0,1,0,R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON021,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_48FABD798C7CE3742190,R02ZF,5,8,8,0,4,4,0,R02ZF_REUSED_R02ZF_PERSON017<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON023<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON023<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON023<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON018,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_1BB7B9183580C17A201F,R02ZF,4,6,6,0,3,3,0,R02ZF_REUSED_R02ZF_PERSON017<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON018,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_CAAB4EA22C44536DF2CC,R02ZF,4,6,6,0,3,3,0,R02ZF_REUSED_R02ZF_PERSON017<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON021<R02ZF_REUSED_R02ZF_PERSON018;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON017;R02ZF_REUSED_R02ZF_PERSON024<R02ZF_REUSED_R02ZF_PERSON018,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_FD6F6E750E8BBEA9ED4C,R03ZF,1,0,0,0,0,0,0,,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_6EA858FDC375FA946246,R03ZF,1,0,0,0,0,0,0,,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
